Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FEB-JUL
 01/01  01 ,18.98333333,35.5,0,0,,,Todo el año,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/01  02 ,18.38333333,40.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/01  03 ,17.65,42.16666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/01  04 ,17.2,43,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/01  05 ,16.18333333,44.66666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/01  06 ,16.46666667,42.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/01  07 ,16.31666667,42.83333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/01  08 ,15.81666667,44.5,19.77053333,74.26916667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/01  09 ,18.36666667,37,75.1908,389.5833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/01  10 ,20.31666667,32.66666667,118.5136167,583.4333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/01  11 ,21.1,30.33333333,154.3124667,682.6333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/01  12 ,22.78333333,26.83333333,181.49915,719.5333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/01  13 ,24.46666667,23.83333333,196.8912333,731.1333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/01  14 ,25.61666667,21.66666667,201.7693333,720.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/01  15 ,26.35,20.66666667,235.02775,604.3333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/01  16 ,26.78333333,19.5,214.1328,418.1166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/01  17 ,26.71666667,19.66666667,148.1826167,299.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/01  18 ,25.55,21.66666667,46.7785,63.29383333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/01  19 ,23.25,26,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/01  20 ,21.4,30.83333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/01  21 ,22.3,29.33333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/01  22 ,22.85,28.66666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
